director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,,rand
George Lucas,142,0,4000,Christopher Lee,20000,310675583,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,464310,42990,Hayden Christensen,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1,PG,115000000,2002,16000,6.7,,0.24026284
Peter Jackson,182,0,773,Adam Brown,5000,303001229,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,9152,James Nesbitt,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,PG-13,180000000,2012,972,7.9,,0.940055891
Pete Docter,92,0,773,John Ratzenberger,12000,289907418,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,"Monsters, Inc. ",585659,15013,James Coburn,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,G,115000000,2001,1000,8.1,,0.76588587
Dan Scanlon,104,37,760,Tyler Labine,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,G,200000000,2013,779,7.3,,0.136287989
Andrew Adamson,90,80,21,Chris Miller,145,267652016,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,467113,275,Bobby Block,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,PG,60000000,2001,50,7.9,,0.007681988
Anthony Russo,136,94,2000,Chris Evans,19000,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,PG-13,170000000,2014,11000,7.8,,0.226665212
Tim Burton,126,13000,488,Jack Palance,920,251188924,Action|Adventure,Michael Gough,Batman ,269033,2725,William Hootkins,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,PG-13,35000000,1989,549,7.6,,0.631626375
Jan de Bont,113,101,848,Alan Ruck,22000,241688385,Action|Adventure|Drama|Thriller,Philip Seymour Hoffman,Twister ,144053,26239,Jami Gertz,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,PG-13,92000000,1996,946,6.3,,0.824800331
Bryan Singer,149,0,20000,Peter Dinklage,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,PG-13,200000000,2014,22000,8,,6.76852E-05
Brett Ratner,90,420,141,John Lone,191,226138454,Action|Comedy|Crime|Thriller,Mei Melançon,Rush Hour 2 ,160440,664,Harris Yulin,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,PG-13,90000000,2001,165,6.6,,0.10832971
Ron Clements,90,63,631,Frank Welker,49000,217350219,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,Aladdin ,260939,52970,Scott Weinger,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,G,28000000,1992,2000,8,,0.8367071
Tim Burton,115,13000,588,Christopher Lee,40000,206456431,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,320284,57844,David Kelly,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,PG,150000000,2005,16000,6.7,,0.724251869
Kenneth Branagh,105,0,502,Derek Jacobi,2000,201148159,Drama|Family|Fantasy|Romance,Hayley Atwell,Cinderella ,103737,4671,Lily James,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,PG,95000000,2015,520,7,,0.393490361
Nathan Greno,100,15,284,Donna Murphy,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,PG,260000000,2010,553,7.8,,0.888698514
Rob Letterman,94,11,459,Rainn Wilson,1000,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,PG,175000000,2009,973,6.5,,0.391020565
George Miller,108,750,971,Hugh Jackman,49000,197992827,Animation|Comedy|Family|Music|Romance,Robin Williams,Happy Feet ,132501,70996,Elizabeth Daily,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,PG,100000000,2006,20000,6.5,,0.26294046
Carlos Saldanha,115,107,241,Ray Romano,835,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,194249,1815,Jay Leno,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,PG,80000000,2006,590,6.9,,0.707935444
Christopher McQuarrie,131,188,641,Jeremy Renner,10000,195000874,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Rogue Nation ,232187,21840,Sean Harris,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,PG-13,150000000,2015,10000,7.4,,0.246495838
Ridley Scott,171,0,695,Connie Nielsen,3000,187670866,Action|Drama|Romance,Djimon Hounsou,Gladiator ,982637,6521,Oliver Reed,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,R,103000000,2000,933,8.5,,0.182085554
Alejandro G. Iñárritu,156,0,733,Tom Hardy,29000,183635922,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,406020,57108,Lukas Haas,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,R,135000000,2015,27000,8.1,,0.965829203
Steven Soderbergh,116,0,471,Bernie Mac,11000,183405771,Crime|Thriller,Brad Pitt,Ocean's Eleven ,402645,13028,Elliott Gould,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,PG-13,85000000,2001,1000,7.8,,0.89725409
Nancy Meyers,127,278,912,Lisa Edelstein,2000,182805123,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,158864,5838,Loretta Devine,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,PG-13,70000000,2000,955,6.4,,0.618226204
Kenneth Branagh,115,0,12000,Natalie Portman,26000,181015141,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,536314,60059,Anthony Hopkins,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,PG-13,150000000,2011,20000,7,,0.616308352
Andy Tennant,118,72,681,Michael Rapaport,10000,177575142,Comedy|Romance,Will Smith,Hitch ,244840,13426,Kevin Sussman,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,PG-13,70000000,2005,975,6.6,,0.180521669
Tim Johnson,94,12,183,Matt Jones,17000,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,70121,17883,April Winchell,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,PG,135000000,2015,523,6.7,,0.062186984
Tim Johnson,94,12,183,Matt Jones,17000,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,70136,17883,April Winchell,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,PG,135000000,2015,523,6.7,,0.459654692
Paul Greengrass,108,521,129,Joan Allen,13000,176049130,Action|Mystery|Thriller,Matt Damon,The Bourne Supremacy ,348232,14161,Oksana Akinshina,http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1,PG-13,75000000,2004,805,7.8,,0.945435901
Barry Levinson,133,272,628,Valeria Golino,10000,172825435,Drama,Tom Cruise,Rain Man ,383784,12285,Beth Grant,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,R,25000000,1988,898,8,,0.992705026
Lana Wachowski,136,0,99,Marcus Chong,18000,171383253,Action|Sci-Fi,Keanu Reeves,The Matrix ,1217752,18563,Gloria Foster,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,R,63000000,1999,145,8.7,,0.674728331
Ethan Coen,110,1000,538,Jeff Bridges,13000,171031347,Adventure|Drama|Western,Matt Damon,True Grit ,240962,25964,Bruce Green,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,PG-13,38000000,2010,12000,7.7,,0.000834076
Genndy Tartakovsky,89,266,859,Adam Sandler,12000,169692572,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania 2 ,56501,26839,Fran Drescher,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,PG,80000000,2015,11000,6.7,,0.022264938
David Ayer,123,452,329,Robin Atkin Downes,10000,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,PG-13,175000000,2016,336,6.9,,0.923363468
Sydney Pollack,154,521,957,Holly Hunter,10000,158348400,Drama|Mystery|Thriller,Tom Cruise,The Firm ,88844,14244,Wilford Brimley,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,R,42000000,1993,1000,6.8,,0.598038182
Adrian Lyne,119,213,249,Lois Smith,886,156645693,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,55101,1639,Anne Archer,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,R,14000000,1987,276,6.9,,0.786214317
Robert Zemeckis,130,0,568,Amber Valletta,11000,155370362,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,What Lies Beneath ,98403,12890,Miranda Otto,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,PG-13,100000000,2000,627,6.6,,0.499206523
Stephen Sommers,118,208,570,Dennis Quaid,23000,150167630,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,PG-13,175000000,2009,2000,5.8,,0.639976119
Genndy Tartakovsky,91,266,11000,Adam Sandler,12000,148313048,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania ,164148,37142,Jon Lovitz,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,PG,85000000,2012,11000,7.1,,0.450724385
Dean DeBlois,85,255,443,Jason Scott Lee,1000,145771527,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,Lilo & Stitch ,117212,3112,David Ogden Stiers,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,PG,80000000,2002,533,7.2,,0.023927558
J.B. Rogers,108,6,1000,Shannon Elizabeth,3000,145096820,Comedy,Alyson Hannigan,American Pie 2 ,200260,7872,Natasha Lyonne,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,R,30000000,2001,1000,6.4,,0.521230252
Rob Cohen,106,357,4000,Vin Diesel,23000,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272223,45327,Jordana Brewster,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,PG-13,38000000,2001,14000,6.7,,0.083339256
Rob Cohen,106,357,4000,Vin Diesel,23000,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272223,45327,Jordana Brewster,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,PG-13,38000000,2001,14000,6.7,,0.621631527
Carlos Saldanha,96,107,350,Wanda Sykes,11000,143618384,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,Rio ,165333,12071,Will.i.am,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,G,90000000,2011,560,7,,0.610296681
Jason Reitman,96,655,973,Jennifer Garner,24000,143492840,Comedy|Drama|Romance,J.K. Simmons,Juno ,414345,28817,Rainn Wilson,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,PG-13,7500000,2007,3000,7.5,,0.860839762
Daniel Myrick,81,19,39,Joshua Leonard,170,140530114,Horror,Heather Donahue,The Blair Witch Project ,186786,399,Michael C. Williams,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,R,60000,1999,170,6.4,,0.110924303
Oliver Stone,120,0,576,Tom Berenger,40000,137963328,Drama|War,Johnny Depp,Platoon ,291603,42028,Kevin Dillon,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,R,6000000,1986,854,8.1,,0.238673682
Robert Zemeckis,96,0,10000,Colin Firth,18000,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,PG,200000000,2009,14000,6.8,,0.41837501
James Wan,112,0,697,Lili Taylor,6000,137387272,Horror|Mystery|Thriller,Mackenzie Foy,The Conjuring ,300110,9049,Hayley McFarland,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,R,20000000,2013,960,7.5,,0.057573541
Louis Leterrier,135,255,882,Peter Mensah,3000,134518390,Action|Adventure|Sci-Fi,Ty Burrell,The Incredible Hulk ,326286,5811,William Hurt,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,PG-13,150000000,2008,1000,6.8,,0.940992435
Seth Gordon,120,91,680,Eric Stonestreet,4000,134455175,Comedy|Crime,Jon Favreau,Identity Thief ,97664,5826,T.I.,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,R,35000000,2013,904,5.7,,0.673323787
Dennis Dugan,101,221,11000,Adam Sandler,12000,133668525,Comedy,Steve Buscemi,Grown Ups 2 ,107817,39269,Jon Lovitz,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,PG-13,80000000,2013,11000,5.4,,0.236695823
J.J. Abrams,124,14000,979,Tom Cruise,22000,133382309,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,256695,34817,Eddie Marsan,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,PG-13,150000000,2006,10000,6.9,,0.84206127
Adam Shankman,105,163,338,Kimberly J. Brown,1000,132541238,Comedy,Angus T. Jones,Bringing Down the House ,30058,2505,Steve Harris,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,PG-13,33000000,2003,409,5.5,,0.170651529
Martin Scorsese,151,17000,1000,Matt Damon,29000,132373442,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,873649,45648,Ray Winstone,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,R,90000000,2006,13000,8.5,,0.341209087
Richard Donner,127,503,91,Rene Russo,5000,129734803,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,127497,6171,Darlene Love,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,R,140000000,1998,808,6.6,,0.695462071
Larry Charles,82,119,6,Ken Davitian,332,128505958,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,Chester,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,R,18000000,2006,165,7.3,,0.230850204
Michael Apted,128,150,244,Maria Grazia Cucinotta,766,126930660,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough ,157519,2037,Desmond Llewelyn,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,PG-13,135000000,1999,536,6.4,,0.174507325
Rawson Marshall Thurber,107,43,569,Thomas Kretschmann,12000,126088877,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,33354,14569,Megan Park,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,PG-13,50000000,2016,919,6.6,,0.645886692
David Yates,110,282,103,Alexander Skarsgård,11000,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,PG-13,180000000,2016,10000,6.6,,0.660871238
Hoyt Yeatman,88,12,182,Piper Mackenzie Harris,730,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,33042,2217,Niecy Nash,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,PG,150000000,2009,607,5.1,,0.327411815
Robert Zemeckis,108,0,690,Jeffrey Weissman,1000,118500000,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,340085,3660,Thomas F. Wilson,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,PG,40000000,1989,869,7.8,,0.74758414
Louis Leterrier,125,255,963,Common,11000,117698894,Crime|Mystery|Thriller,Morgan Freeman,Now You See Me ,447979,13312,Michael Kelly,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,PG-13,75000000,2013,988,7.3,,0.23536731
Curtis Hanson,110,161,196,Omar Benson Miller,1000,116724075,Drama|Music,Mekhi Phifer,8 Mile ,187181,1954,Evan Jones,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,R,41000000,2002,418,7,,0.708197482
Rawson Marshall Thurber,92,43,936,Stephen Root,989,114324072,Comedy|Sport,Gary Cole,Dodgeball: A True Underdog Story ,185345,4730,Joel David Moore,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,PG-13,20000000,2004,939,6.7,,0.181445604
Robert Rodriguez,88,0,640,Cheech Marin,2000,112692062,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,Spy Kids ,84325,4499,Daryl Sabara,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,PG,35000000,2001,843,5.4,,0.473148484
Tony Scott,140,12000,619,Jake Busey,10000,111544445,Action|Crime|Drama|Mystery|Thriller,Will Smith,Enemy of the State ,188116,11951,Lisa Bonet,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,R,90000000,1998,660,7.3,,0.747469506
Garry Marshall,125,0,11000,Taylor Lautner,14000,110476776,Comedy|Romance,Bradley Cooper,Valentine's Day ,95437,45696,Anne Hathaway,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,PG-13,52000000,2010,12000,5.7,,0.177867502
Dean Parisot,90,23,233,Richard Burgi,957,110332737,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,110788,1997,David Herman,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,PG-13,100000000,2005,550,6.1,,0.563389829
Ryan Coogler,133,0,531,Phylicia Rashad,13000,109712885,Drama|Sport,Sylvester Stallone,Creed ,146708,15106,Graham McTavish,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,PG-13,35000000,2015,597,7.7,,0.169956288
Steve Oedekerk,90,176,460,Bob Gunton,531,108360000,Adventure|Comedy,Bruce Spence,Ace Ventura: When Nature Calls ,160321,2203,Sophie Okonedo,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,PG-13,30000000,1995,461,6.3,,0.705822028
Joel Schumacher,125,541,409,Vivica A. Fox,920,107285004,Action,Michael Gough,Batman & Robin ,189855,2699,John Glover,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,PG-13,125000000,1997,890,3.7,,0.339758243
Paul Greengrass,134,521,186,Chris Mulkey,15000,107100855,Biography|Drama|Thriller,Tom Hanks,Captain Phillips ,323353,16281,Michael Chernus,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,PG-13,55000000,2013,535,7.9,,0.71435525
F. Gary Gray,111,473,82,Charlize Theron,26000,106126012,Action|Crime|Thriller,Jason Statham,The Italian Job ,285623,35084,Jimmy Shubert,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,PG-13,60000000,2003,9000,7,,0.859653274
Donald Petrie,116,80,651,Adam Goldberg,11000,105807520,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,14087,Thomas Lennon,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,PG-13,50000000,2003,1000,6.4,,0.628525368
Neil Jordan,123,277,4000,Tom Cruise,11000,105264608,Drama|Fantasy|Horror,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,239752,25697,Kirsten Dunst,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,R,60000000,1994,10000,7.6,,0.778192236
Jesse Dylan,74,58,729,Thomas Ian Nicholas,3000,104354205,Comedy|Romance,Alyson Hannigan,American Wedding ,162331,5713,Fred Willard,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,R,55000000,2003,864,6.3,,0.179599924
Steve Carr,92,41,522,Lisa Edelstein,1000,104148781,Comedy|Family,Anjelica Huston,Daddy Day Care ,49486,4050,Jeff Garlin,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,PG,60000000,2003,955,5.5,,0.976083392
Peter Ramsey,97,52,161,Kamil McFadden,20000,103400692,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,123553,20645,Khamani Griffin,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,PG,145000000,2012,315,7.3,,0.871936356
Eric Brevig,93,40,311,Brendan Fraser,14000,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,Anita Briem,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,PG,45000000,2008,3000,5.8,,0.022017069
Dominic Sena,127,57,3000,Angelina Jolie Pitt,12000,101643008,Action|Crime|Thriller,Nicolas Cage,Gone in Sixty Seconds ,218341,29069,Robert Duvall,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,PG-13,90000000,2000,11000,6.5,,0.857673494
Evan Goldberg,107,133,9000,James Franco,17000,101470202,Comedy|Fantasy,Channing Tatum,This Is the End ,310540,38751,Emma Watson,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,R,32000000,2013,11000,6.7,,0.705061048
Clint Eastwood,131,16000,638,Morgan Freeman,16000,101157447,Drama|Western,Clint Eastwood,Unforgiven ,277505,28544,Frances Fisher,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,R,14400000,1992,11000,8.3,,0.651576982
Gary Trousdale,91,21,542,Jason Alexander,2000,100117603,Animation|Drama|Family|Musical|Romance,Demi Moore,The Hunchback of Notre Dame ,102933,4842,Bill Fagerbakke,http://www.imdb.com/title/tt0116583/?ref_=fn_tt_tt_1,G,100000000,1996,700,6.9,,0.943488896
John McTiernan,128,323,489,Aldis Hodge,13000,100012500,Action|Adventure|Thriller,Bruce Willis,Die Hard with a Vengeance ,299258,14274,Kevin Chamberlin,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,R,90000000,1995,559,7.6,,0.480646733
David Fincher,120,21000,81,Dustin Fitzsimons,10000,96917897,Biography|Drama,Andrew Garfield,The Social Network ,479453,10555,Marcella Lentz-Pope,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,PG-13,40000000,2010,349,7.7,,0.318920184
